CountryName,Web Index score,Universal Access,Education and awareness,Access and Affordability,Communications Infrastructure,Relevant Content,Web use,Content creation,Freedom and Openness,Freedom of the Web,Impact and Empowerment,Political impact,Social and environmental,Economic impact
Argentina,Z:0.1,Z:-0.07,Z:-0.18,Z:0.17,Z:-0.19,Z:0.52,Z:0.86,Z:0.17,Z:-0.03,Z:-0.03,Z:-0.01,Z:-0.01,Z:0.24,Z:-0.28
Australia,Z:0.79,Z:0.73,Z:0.59,Z:1.05,Z:0.56,Z:1.07,Z:1.12,Z:1.02,Z:0.37,Z:0.37,Z:0.99,Z:1.02,Z:1.02,Z:0.94
Austria,Z:0.75,Z:0.81,Z:1.04,Z:0.88,Z:0.51,Z:0.8,Z:0.82,Z:0.77,Z:0.64,Z:0.64,Z:0.76,Z:1.05,Z:0.24,Z:1.0
Bahrain,Z:-0.27,Z:0.07,Z:0.11,Z:0.29,Z:-0.2,Z:0.2,Z:0.54,Z:-0.14,Z:-1.01,Z:-1.01,Z:-0.33,Z:-0.05,Z:-0.8,Z:-0.15
Bangladesh,Z:-0.58,Z:-0.57,Z:-0.38,Z:-0.8,Z:-0.52,Z:-0.71,Z:-1.16,Z:-0.27,Z:-0.33,Z:-0.33,Z:-0.7,Z:-0.58,Z:-0.61,Z:-0.89
Belgium,Z:0.54,Z:0.65,Z:0.51,Z:0.51,Z:0.92,Z:0.54,Z:0.49,Z:0.58,Z:0.52,Z:0.52,Z:0.46,Z:1.0,Z:0.01,Z:0.39
Benin,Z:-0.76,Z:-1.08,Z:-1.07,Z:-1.12,Z:-1.04,Z:-1.15,Z:-1.61,Z:-0.69,Z:0.17,Z:0.17,Z:-0.99,Z:-1.2,Z:-0.88,Z:-0.88
Botswana,Z:-0.73,Z:-0.51,Z:-0.85,Z:-0.42,Z:-0.25,Z:-1.2,Z:-1.42,Z:-0.99,Z:-0.09,Z:-0.09,Z:-1.13,Z:-1.33,Z:-1.3,Z:-0.76
Brazil,Z:0.18,Z:-0.01,Z:0.11,Z:-0.02,Z:-0.12,Z:0.14,Z:-0.12,Z:0.4,Z:0.25,Z:0.25,Z:0.34,Z:0.36,Z:0.82,Z:-0.16
Burkina Faso,Z:-0.82,Z:-1.03,Z:-1.22,Z:-1.08,Z:-0.78,Z:-1.17,Z:-1.46,Z:-0.88,Z:-0.2,Z:-0.2,Z:-0.88,Z:-0.9,Z:-0.58,Z:-1.15
Cameroon,Z:-0.88,Z:-0.95,Z:-1.11,Z:-1.0,Z:-0.74,Z:-1.18,Z:-1.36,Z:-1.0,Z:-0.6,Z:-0.6,Z:-0.79,Z:-1.14,Z:-0.65,Z:-0.59
Canada,Z:0.74,Z:0.66,Z:0.75,Z:0.61,Z:0.63,Z:0.94,Z:0.93,Z:0.96,Z:0.49,Z:0.49,Z:0.87,Z:0.75,Z:0.95,Z:0.9
Chile,Z:0.4,Z:0.17,Z:0.21,Z:0.19,Z:0.11,Z:0.65,Z:0.57,Z:0.74,Z:0.53,Z:0.53,Z:0.26,Z:0.42,Z:0.32,Z:0.05
China,Z:-0.43,Z:-0.1,Z:-0.33,Z:0.03,Z:-0.02,Z:-0.13,Z:-0.04,Z:-0.22,Z:-1.23,Z:-1.23,Z:-0.27,Z:-0.76,Z:-0.05,Z:0.01
Colombia,Z:0.21,Z:0.09,Z:0.6,Z:-0.1,Z:-0.23,Z:0.3,Z:0.36,Z:0.25,Z:0.08,Z:0.08,Z:0.36,Z:0.88,Z:0.41,Z:-0.21
Costa Rica,Z:0.15,Z:-0.22,Z:-0.12,Z:-0.23,Z:-0.3,Z:0.17,Z:0.17,Z:0.18,Z:0.49,Z:0.49,Z:0.13,Z:0.13,Z:0.37,Z:-0.11
Czech Republic,Z:0.48,Z:0.55,Z:0.85,Z:0.49,Z:0.29,Z:0.26,Z:0.38,Z:0.14,Z:0.64,Z:0.64,Z:0.48,Z:0.34,Z:0.64,Z:0.48
