Code,Category,SubCategory,Code,QuestionOrIndicator,Criteria10,Criteria05,Criteria00
A1,Universal Access,Communications Infrastructure,ITU G,% of population covered by mobile cellular network,,,
A1,Universal Access,Communications Infrastructure,WI D,Base stations per capita,,,
A1,Universal Access,Communications Infrastructure,ITU A,International bandwidth (Mbps) per Internet User,,,
A1,Universal Access,Communications Infrastructure,ITU O,"Broadband Speeds (peak Mbps, Average Mbps)",,,
A1,Universal Access,Communications Infrastructure,ITU L,Investment per telecom subscriber,,,
A1,Universal Access,Communications Infrastructure,WB A,Secure Internet Servers per million population,,,
A1,Universal Access,Communications Infrastructure,IEAA,Electrification Rate,,,
A1,Universal Access,Communications Infrastructure,ITU K,Existence of National Broadband Plan,,,
A1,Universal Access,Communications Infrastructure,Communications-1,To what extent does access to electricity have an impact on the quality or availability of access to the Web?,Electricity is constantly available and in high quality (or interruptions are rare and limited) and access to the Web is never (or seldom) impeded.,"Electricity outages and/or service problems occur somewhat regularly and for non-trivial periods of time, creating problems for reliable Web access.","Electricity outages and/or service problems occur constantly, and the Internet is seldom, if ever, reliably accessible.æ Internet users must plan their usage around expected times when power outages are likely to occur."
A2,Universal Access,Access and Affordability,ITU B,Broadband subscribers per 100 populations,,,
A2,Universal Access,Access and Affordability,WI B,Number of mobile subscribers per 100 population,,,
A2,Universal Access,Access and Affordability,WI C,Number of mobile broadband connections per 100 population,,,
A2,Universal Access,Access and Affordability,ITU R,cost of fixed bband per capita,,,
A2,Universal Access,Access and Affordability,ITU S,cost of mobile bband per capita,,,
A2,Universal Access,Access and Affordability,ITU J,Cost of bandwidth per MB,,,
A2,Universal Access,Access and Affordability,WEF B,Internet Access in Schools,,,
